"Actuator Height off PCB, Vertical","Actuator Length, Right Angle","Actuator Orientation","Actuator Type","Circuit","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Contact Rating @ Voltage","Description","Device Package","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Ingress Protection","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Force","Operating Temperature","Outline","Packaging","Part Status","Price","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Switch Function","Library Path","Library Ref","Termination Style","Type","Value"
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/KXT3/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/KXT341-LHS/CKN10781CT-ND/6607324,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Buttons/PCB - BUTTONS - C&K KXT3.PCBLIB,"","",C&K KXT3,"","",Non-Illuminated,"","","","2020-09-02 01:27:06.727000",Active,C&K,KXT341 LHS,"1",Surface Mount,"330gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.14",KXT3,DigiKey,CKN10781CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/KXT3/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/KXT-311-LHS/CKN10777CT-ND/6599755,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Buttons/PCB - BUTTONS - C&K KXT3.PCBLIB,"","",C&K KXT3,"","",Non-Illuminated,"","","","2020-09-02 01:27:06.750000",Active,C&K,KXT 311 LHS,"1",Surface Mount,"100gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.12",KXT3,DigiKey,CKN10777CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/KXT3/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/KXT-321-LHS/CKN10778CT-ND/6599756,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Buttons/PCB - BUTTONS - C&K KXT3.PCBLIB,"","",C&K KXT3,"","",Non-Illuminated,"","","","2020-09-02 01:27:06.770000",Active,C&K,KXT 321 LHS,"1",Surface Mount,"160gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.12",KXT3,DigiKey,CKN10778CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://dznh3ojzb2azq.cloudfront.net/products/Tactile/KXT3/documents/datasheet.pdf,DigiKey Link,http://digikey.com/product-detail/en/c-k/KXT-331-LHS/CKN10779CT-ND/6599757,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Buttons/PCB - BUTTONS - C&K KXT3.PCBLIB,"","",C&K KXT3,"","",Non-Illuminated,"","","","2020-09-02 01:27:06.773000",Active,C&K,KXT 331 LHS,"1",Surface Mount,"240gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.12",KXT3,DigiKey,CKN10779CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://industrial.panasonic.com/ac/cdn/e/control/switch/light-touch/catalog/sw_lt_eng_3020s.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EVP-AWED4A/P123440CT-ND/8568287,"","","","","","","","","0.02A @ 15VDC","3.0MM X 2.0MM / 3.3N / 0.15MM ST","","",footprints/Buttons/PCB - BUTTONS - PANASONIC EVPAW.PCBLIB,"","",PANASONIC EVPAW,"","",Non-Illuminated,"","","IP67 - Dust Tight, Waterproof","2020-09-02 01:27:07.027000",Active,Panasonic Electronic Components,EVP-AWED4A,"1",Surface Mount,"330gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.14",EVPAW,DigiKey,P123440CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://industrial.panasonic.com/ac/cdn/e/control/switch/light-touch/catalog/sw_lt_eng_3020s.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EVP-AWCD4A/P123439CT-ND/8568286,"","","","","","","","","0.02A @ 15VDC","3.0MM X 2.0MM / 2.4N / 0.13MM ST","","",footprints/Buttons/PCB - BUTTONS - PANASONIC EVPAW.PCBLIB,"","",PANASONIC EVPAW,"","",Non-Illuminated,"","","IP67 - Dust Tight, Waterproof","2020-09-02 01:27:07.037000",Active,Panasonic Electronic Components,EVP-AWCD4A,"1",Surface Mount,"240gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.14",EVPAW,DigiKey,P123439CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://industrial.panasonic.com/ac/cdn/e/control/switch/light-touch/catalog/sw_lt_eng_3020s.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EVP-AWBD4A/P123438CT-ND/8568285,"","","","","","","","","0.02A @ 15VDC","3.0MM X 2.0MM / 1.6N / 0.13MM ST","","",footprints/Buttons/PCB - BUTTONS - PANASONIC EVPAW.PCBLIB,"","",PANASONIC EVPAW,"","",Non-Illuminated,"","","IP67 - Dust Tight, Waterproof","2020-09-02 01:27:07.037000",Active,Panasonic Electronic Components,EVP-AWBD4A,"1",Surface Mount,"160gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.14",EVPAW,DigiKey,P123438CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EVPAW.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EVP-AWBD2A/P19743TR-ND/6125102,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Buttons/PCB - BUTTONS - PANASONIC EVPAW.PCBLIB,"","",PANASONIC EVPAW,"","",Non-Illuminated,"","","IP67 - Dust Tight, Waterproof","2020-09-02 01:27:07.040000",Active,Panasonic Electronic Components,EVP-AWBD2A,"",Surface Mount,"160gf",-40°C ~ 85°C,"3.00mm x 2.00mm","",Active,"0",EVPAW,DigiKey,P19743TR-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EVPAW.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EVP-AWCD2A/P19744CT-ND/6125111,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Buttons/PCB - BUTTONS - PANASONIC EVPAW.PCBLIB,"","",PANASONIC EVPAW,"","",Non-Illuminated,"","","IP67 - Dust Tight, Waterproof","2020-09-02 01:27:07.050000",Active,Panasonic Electronic Components,EVP-AWCD2A,"1",Surface Mount,"240gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.31",EVPAW,DigiKey,P19744CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"0.60mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EVPAW.pdf,DigiKey Link,http://digikey.com/product-detail/en/panasonic-electronic-components/EVP-AWED2A/P19745CT-ND/6125112,"","","","","","","","","0.02A @ 15VDC",SWITCH TACTILE SPST-NO 0.02A 15V,"","",footprints/Buttons/PCB - BUTTONS - PANASONIC EVPAW.PCBLIB,"","",PANASONIC EVPAW,"","",Non-Illuminated,"","","IP67 - Dust Tight, Waterproof","2020-09-02 01:27:07.057000",Active,Panasonic Electronic Components,EVP-AWED2A,"1",Surface Mount,"330gf",-40°C ~ 85°C,"3.00mm x 2.00mm",TapeAndReel,Active,"0.29",EVPAW,DigiKey,P19745CT-ND,"","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 2 PIN.SCHLIB,SPST-NO 2 PIN,SMD (SMT) Tab,"",""
"3.10mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1437565-8&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/FSM1LP/450-1132-ND/525816,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"",Grounding Pin,footprints/Buttons/PCB - BUTTONS - TE FSM1LPATR.PCBLIB,"","",TE FSM1LPATR,"","",Non-Illuminated,"","","","2020-02-04 14:40:31.647000",Active,TE Connectivity ALCOSWITCH Switches,FSM1LP,"1",Surface Mount,"160gf",-35°C ~ 85°C,"6.00mm x 6.00mm",Bulk,Active,"0.51",FSM1LP,DigiKey,"450-1132-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 5 PIN.SCHLIB,SPST-NO 5 PIN,Gull Wing,"",""
"3.10mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1437565-8&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/FSM1LPTR/450-1756-1-ND/2270986,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"","",footprints/Buttons/PCB - BUTTONS - TE FSM1LPATR.PCBLIB,"","",TE FSM1LPATR,"","",Non-Illuminated,"","","","2020-02-04 14:40:31.650000",Active,TE Connectivity ALCOSWITCH Switches,FSM1LPTR,"1",Surface Mount,"160gf",-35°C ~ 85°C,"6.00mm x 6.00mm",TapeAndReel,Active,"0.34",FSM1LP,DigiKey,"450-1756-1-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 5 PIN.SCHLIB,SPST-NO 5 PIN,Gull Wing,"",""
"3.10mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1437565-8&DocType=Customer+Drawing&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/FSM1LPATR/450-1760-1-ND/2271640,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"","",footprints/Buttons/PCB - BUTTONS - TE FSM1LPATR.PCBLIB,"","",TE FSM1LPATR,"","",Non-Illuminated,"","","","2020-02-04 14:40:31.653000",Active,TE Connectivity ALCOSWITCH Switches,FSM1LPATR,"1",Surface Mount,"260gf",-35°C ~ 85°C,"6.00mm x 6.00mm",TapeAndReel,Active,"0.18",FSM1LP,DigiKey,"450-1760-1-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 5 PIN.SCHLIB,SPST-NO 5 PIN,Gull Wing,"",""
"3.10mm","",Top Actuated,Standard,SPST-NO,=Part Number,Datasheet,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308111-1_SWITCHES_CORE_PROGRAM_CATALOG&DocType=CS&DocLang=English,DigiKey Link,http://digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/FSM1LPSTR/450-2156-1-ND/5343836,"","","","","","","","","0.05A @ 24VDC",SWITCH TACTILE SPST-NO 0.05A 24V,"",Grounding Pin,footprints/Buttons/PCB - BUTTONS - TE FSM1LPATR.PCBLIB,"","",TE FSM1LPATR,"","",Non-Illuminated,"","","","2020-02-04 14:40:31.657000",Active,TE Connectivity ALCOSWITCH Switches,FSM1LPSTR,"1",Surface Mount,"160gf",-40°C ~ 105°C,"6.20mm x 6.00mm",TapeAndReel,Active,"0.23",FSM1LP,DigiKey,"450-2156-1-ND","","","","","","","","","","",Off-Mom,symbols/Button/SCH - BUTTON - SPST-NO 5 PIN.SCHLIB,SPST-NO 5 PIN,Gull Wing,"",""
