Part Type,Applications,Part Number,Schematic Part,Part Value,Tolerance,ESR (Equivalent Series Resistance),Impedance,Ripple Current @ High Frequency,Ripple Current @ Low Frequency,Lifetime @ Temp.,Polarization,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Surface Mount Land Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
,General Purpose,875105240001,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,45mOhm,,1.2A @ 100kHz,60mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105240001.pdf,CAP ALUM POLY 10UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,875105240002,"capacitors\Capacitor_AL,capacitors\Capacitor_p",15uF,±20%,45mOhm,,1.2A @ 100kHz,60mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105240002.pdf,CAP ALUM POLY 15UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,PCF1A6R8MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",6.8uF,±20%,240mOhm,,670mA @ 100kHz,,2000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,CAP ALUM POLY 6.8UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,4SVP33M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",33uF,±20%,200mOhm,,740mA @ 100kHz,37mA @ 120Hz,2000 Hrs @ 105°C,,4V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8008+4SVP33M+8+WW,CAP ALUM POLY 33UF 20% 4V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,RFS1A100MCN1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,220mOhm,,700mA @ 100kHz,70mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-rfs_rfa.pdf,CAP ALUM POLY 10UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,875105240003,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,45mOhm,,1.2A @ 100kHz,60mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://katalog.we-online.de/pbs/datasheet/875105240003.pdf,CAP ALUM POLY 22UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Würth Elektronik,,,
,General Purpose,PCF0J220MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",22uF,±20%,200mOhm,,700mA @ 100kHz,,2000 Hrs @ 105°C,,6.3V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,CAP ALUM POLY 22UF 20% 6.3V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,PCF1A100MCL1GB,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,220mOhm,,700mA @ 100kHz,,2000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://nichicon-us.com/english/products/pdfs/e-pcf.pdf,CAP ALUM POLY 10UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Nichicon,,,
,General Purpose,10SVPS10M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",10uF,±20%,220mOhm,,700mA @ 100kHz,35mA @ 120Hz,5000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C232.pdf,CAP ALUM POLY 10UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
,General Purpose,10SVP4R7M,"capacitors\Capacitor_AL,capacitors\Capacitor_p",4.7uF,±20%,240mOhm,,670mA @ 100kHz,33.5mA @ 120Hz,2000 Hrs @ 105°C,,10V,,CAP ALSMD POLY 4.3MM H5.5MM,C,,,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8008+10SVP4R7M+8+WW,CAP ALUM POLY 4.7UF 20% 10V SMD,Surface Mount,0.157 Dia (4.00mm),0.169 L x 0.169 W (4.30mm x 4.30mm),2,-55°C ~ 105°C,,Panasonic Electronic Components,,,
